Sample_ID,Complexity,Model_CQS,Human_Reviewer_1_CQS,Human_Reviewer_2_CQS,Human_Reviewer_3_CQS
S01,Easy,4.72,4.83,4.84,4.84
S02,Easy,4.72,4.84,4.85,4.86
S03,Easy,4.74,4.84,4.85,4.85
S04,Easy,4.75,4.86,4.87,4.88
S05,Easy,4.76,4.88,4.88,4.89
S06,Easy,4.75,4.85,4.86,4.87
S07,Easy,4.79,4.87,4.88,4.88
S08,Easy,4.79,4.87,4.87,4.88
S09,Easy,4.81,4.88,4.88,4.89
S10,Easy,4.84,4.88,4.89,4.89
S11,Medium,4.66,4.77,4.78,4.79
S12,Medium,4.65,4.81,4.82,4.82
S13,Medium,4.63,4.78,4.78,4.79
S14,Medium,4.68,4.80,4.81,4.82
S15,Medium,4.67,4.83,4.84,4.85
S16,Medium,4.71,4.80,4.81,4.81
S17,Medium,4.74,4.85,4.85,4.86
S18,Medium,4.70,4.79,4.80,4.81
S19,Medium,4.74,4.82,4.83,4.84
S20,Medium,4.73,4.81,4.82,4.83
S21,Hard,4.52,4.63,4.64,4.64
S22,Hard,4.51,4.62,4.63,4.64
S23,Hard,4.53,4.65,4.66,4.67
S24,Hard,4.58,4.68,4.69,4.70
S25,Hard,4.54,4.63,4.64,4.65
S26,Hard,4.60,4.69,4.70,4.71
S27,Hard,4.62,4.70,4.70,4.71
S28,Hard,4.66,4.77,4.77,4.78
S29,Hard,4.65,4.76,4.77,4.77
S30,Hard,4.56,4.69,4.70,4.71
